3502, r, 3277, 3520
2527, 7, 4862, 2007
873, D, 143, 1910
3592, 5, 1218, 1838
1569, k, 3296, 2999
4696, 2, 4364, 4889
4626, F, 1220, 2431
709, 5, 1769, 181
4696, b, 3286, 1257
3542, 4, 1627, 3024
2004, L, 1371, 2835
4141, 8, 1444, 3213
1249, t, 4584, 2424
4161, 2, 2126, 1136
3587, f, 1606, 1815
3344, 6, 3146, 890
1282, V, 2926, 1367
2361, 0, 2640, 4557
595, Y, 3192, 3845
3810, 6, 3055, 3822
4254, R, 275, 2647
1261, 7, 2519, 3314
4848, o, 444, 1155
3752, 2, 4672, 3924
3996, K, 4530, 1172
1097, 9, 1119, 3540
1782, C, 458, 2067
4216, 8, 1512, 1499
3628, e, 605, 3570
3177, 4, 4551, 2901
3905, n, 1416, 1116
3889, 5, 4810, 805
1800, X, 1145, 4373
3851, 4, 4930, 1499
1908, p, 2704, 1012
4042, 4, 635, 1631
572, p, 3481, 4538
4739, 2, 1282, 3855
759, g, 947, 2076
772, 2, 3430, 2851
2265, e, 3782, 4426
2708, 0, 574, 196
1970, M, 2610, 3948
3834, 1, 4325, 361
2029, l, 792, 829
790, 5, 2291, 985
1310, R, 2491, 1005
3979, 8, 1413, 1968
571, K, 3203, 1687
1187, 5, 2856, 613
504, B, 4403, 1482
2400, 5, 824, 223
2832, i, 4730, 4311
4097, 9, 2945, 716
1725, x, 3451, 1156
560, 5, 4114, 481
72, o, 3727, 1460
2640, 7, 1986, 4187
4350, X, 469, 483
2948, 8, 4314, 1305
910, K, 811, 1437
249, 5, 2674, 1487
4808, y, 1728, 3690
2066, 0, 1332, 1941
4296, V, 2351, 2601
720, 6, 2875, 3540
2693, k, 4736, 2337
1808, 9, 3311, 2011
1175, T, 332, 3686
4511, 5, 1962, 985
2315, M, 4035, 1475
1287, 9, 1382, 4331
25, I, 2470, 1480
4103, 3, 4634, 3141
342, b, 9, 739
1348, 0, 4160, 4547
3091, l, 1875, 3349
3470, 3, 1825, 874
1432, V, 961, 4120
15, 2, 2024, 1041
4920, H, 4966, 1471
157, 5, 3930, 4332
2259, N, 2143, 2187
2518, 1, 1299, 174
784, U, 4973, 3680
2598, 3, 1637, 205
1111, q, 3307, 4896
4492, 9, 2470, 4355
1761, F, 3307, 1825
730, 7, 1702, 530
283, I, 602, 2457
2178, 9, 297, 4414
4980, V, 3363, 1483
1401, 9, 3410, 4458
281, I, 117, 1836
4819, 8, 3731, 56
1649, j, 2363, 4735
3330, 3, 2906, 4277
273, n, 1755, 4355
2015, 0, 1389, 1670
